LineId,Date,Time,Pid,Level,Component,ADDR,Content,EventId,EventTemplate,ParameterList
1072175,2022-01-18,21:57:24.892,26406,INFO,neutron.plugins.ml2.drivers.agent._common_agent,-,Stopping Linux bridge agent agent.,70396318,Stopping Linux bridge agent agent.,[]
1072176,2022-01-18,21:57:24.901,26406,INFO,oslo_rootwrap.client,-,Stopping rootwrap daemon process with pid=26423,25a2902d,Stopping rootwrap daemon process with <*>,['pid=26423']
1072177,2022-01-18,21:59:20.123,300927,INFO,neutron.common.config,-,Logging enabled!,48f9f2a1,Logging enabled!,[]
1072178,2022-01-18,21:59:20.123,300927,INFO,neutron.common.config,-,/usr/bin/neutron-linuxbridge-agent version 8.1.2,9dacc4e2,/usr/bin/neutron-linuxbridge-agent version 8.1.2,[]
1072179,2022-01-18,21:59:20.123,300927,INFO,neutron.plugins.ml2.drivers.linuxbridge.agent.linuxbridge_neutron_agent,-,Interface mappings: {'provider': 'ens3f1'},39e5ca6f,Interface mappings: {'provider': 'ens3f1'},[]
1072180,2022-01-18,21:59:20.123,300927,INFO,neutron.plugins.ml2.drivers.linuxbridge.agent.linuxbridge_neutron_agent,-,Bridge mappings: {},6a565929,Bridge mappings: {},[]
1072181,2022-01-18,21:59:20.393,300927,INFO,oslo_rootwrap.client,-,Spawned new rootwrap daemon process with pid=300986,856d2ba6,Spawned new rootwrap daemon process with <*>,['pid=300986']
1072182,2022-01-18,21:59:20.537,300927,INFO,neutron.plugins.ml2.drivers.linuxbridge.agent.linuxbridge_neutron_agent,-,"Agent initialized successfully, now running...",08c978a5,"Agent initialized successfully, now running...",[]
1072183,2022-01-18,21:59:20.580,300927,INFO,neutron.plugins.ml2.drivers.agent._common_agent,req-3a0adf47-e731-47f2-97d1-ca91e3294828 - - - - -,RPC agent_id: lb6c92bfcf4e78,0d0aebe7,RPC agent_id: <*>,['lb6c92bfcf4e78']
1072184,2022-01-18,21:59:20.594,300927,INFO,neutron.agent.l2.extensions.manager,req-3a0adf47-e731-47f2-97d1-ca91e3294828 - - - - -,Loaded agent extensions: [],606c6907,Loaded agent extensions: [],[]
1072185,2022-01-18,21:59:20.698,300927,INFO,neutron.plugins.ml2.drivers.agent._common_agent,-,Linux bridge agent Agent has just been revived. Doing a full sync.,2285ef69,Linux bridge agent Agent has just been revived. Doing a full sync.,[]
1072186,2022-01-18,21:59:20.779,300927,INFO,neutron.plugins.ml2.drivers.agent._common_agent,req-3a0adf47-e731-47f2-97d1-ca91e3294828 - - - - -,Linux bridge agent Agent RPC Daemon Started!,20b2b9f9,Linux bridge agent Agent RPC Daemon Started!,[]
1072187,2022-01-18,21:59:20.779,300927,INFO,neutron.plugins.ml2.drivers.agent._common_agent,req-3a0adf47-e731-47f2-97d1-ca91e3294828 - - - - -,Linux bridge agent Agent out of sync with plugin!,748908de,Linux bridge agent Agent out of sync with plugin!,[]
1072188,2022-01-18,21:59:20.794,300927,INFO,neutron.plugins.ml2.drivers.linuxbridge.agent.arp_protect,req-3a0adf47-e731-47f2-97d1-ca91e3294828 - - - - -,Clearing orphaned ARP spoofing entries for devices [],b65f12dc,Clearing orphaned ARP spoofing entries for devices <*>,['[]']
1072189,2022-01-18,21:59:20.795,300927,INFO,neutron.agent.securitygroups_rpc,req-3a0adf47-e731-47f2-97d1-ca91e3294828 - - - - -,"Preparing filters for devices set(['tapfd7e6a93-ff', 'tapd4ec5b9d-cc', 'tap20230a5b-c5', 'tapcfa3406f-12', 'tap67c7d587-c6'])",f8bb75d0,"Preparing filters for devices <*> 'tapd4ec5b9d-cc', 'tap20230a5b-c5', <*> <*>","[""set(['tapfd7e6a93-ff',"", ""'tapcfa3406f-12', 'tap67c7d587-c6'])""]"
