LineId,Date,Time,Pid,Level,Component,ADDR,Content,EventId,EventTemplate,ParameterList
1071867,2022-01-17,23:48:26.322,48816,INFO,neutron.agent.securitygroups_rpc,req-33123b7d-e8a4-4f33-a452-286518cf45a9 - - - - -,Remove device filter for set(['tap20230a5b-c5']),f36ed50f,Remove device filter for <*>,"[""set(['tap20230a5b-c5'])""]"
1071868,2022-01-17,23:48:26.460,48816,INFO,neutron.plugins.ml2.drivers.agent._common_agent,req-33123b7d-e8a4-4f33-a452-286518cf45a9 - - - - -,Attachment tap20230a5b-c5 removed,36f86791,Attachment <*> removed,['tap20230a5b-c5']
1071869,2022-01-17,23:48:26.559,48816,INFO,neutron.plugins.ml2.drivers.agent._common_agent,req-33123b7d-e8a4-4f33-a452-286518cf45a9 - - - - -,Port tap20230a5b-c5 updated.,6b5c2a4e,Port <*> updated.,['tap20230a5b-c5']
1071870,2022-01-17,23:48:28.322,48816,INFO,neutron.agent.securitygroups_rpc,req-33123b7d-e8a4-4f33-a452-286518cf45a9 - - - - -,Preparing filters for devices set(['tap20230a5b-c5']),609be153,Preparing filters for devices <*>,"[""set(['tap20230a5b-c5'])""]"
1071871,2022-01-17,23:48:28.652,48816,INFO,neutron.plugins.ml2.drivers.agent._common_agent,req-33123b7d-e8a4-4f33-a452-286518cf45a9 - - - - -,Port tap20230a5b-c5 updated. Details: {},234d77db,Port <*> updated. Details: {},['tap20230a5b-c5']
1071872,2022-01-17,23:50:03.454,48816,INFO,neutron.agent.securitygroups_rpc,req-0a53afef-b4e9-479b-913d-6977b39d1a90 c3a526db8d3c49d5a34fe381ed60ee76 24edcca284a248049028c1352851f520 - - -,Security group member updated [u'b059babb-88bb-4cac-be72-07a559099114'],a565880c,Security group <*> updated [u'<*>'],"['member', 'b059babb-88bb-4cac-be72-07a559099114']"
1071873,2022-01-17,23:50:04.199,48816,INFO,neutron.agent.securitygroups_rpc,req-c15e4dff-afbe-4d69-8bca-5902e2120895 43b996f08a374a359872ac4444258295 7fe5d95324c448b695017fc3a63492b4 - - -,Security group member updated [u'b059babb-88bb-4cac-be72-07a559099114'],a565880c,Security group <*> updated [u'<*>'],"['member', 'b059babb-88bb-4cac-be72-07a559099114']"
1142093,2022-01-17,23:39:00.862,42079,DEBUG,oslo_service.periodic_task,req-b6cc8f39-0feb-4eaa-9016-bb41c60246e0 - - - - -,Running periodic task ComputeManager._heal_instance_info_cache run_periodic_tasks /usr/lib/python2.7/site-packages/oslo_service/periodic_task.py:215,3e57edfe,Running periodic task <*> run_periodic_tasks /usr/lib/python2.7/site-packages/oslo_service/periodic_task.py:215,['ComputeManager._heal_instance_info_cache']
1142094,2022-01-17,23:39:00.863,42079,DEBUG,nova.compute.manager,req-b6cc8f39-0feb-4eaa-9016-bb41c60246e0 - - - - -,Starting heal instance info cache _heal_instance_info_cache /usr/lib/python2.7/site-packages/nova/compute/manager.py:5741,87ce2184,Starting heal instance info cache _heal_instance_info_cache /usr/lib/python2.7/site-packages/nova/compute/manager.py:5741,[]
1142095,2022-01-17,23:39:00.864,42079,DEBUG,nova.compute.manager,req-b6cc8f39-0feb-4eaa-9016-bb41c60246e0 - - - - -,Rebuilding the list of instances to heal _heal_instance_info_cache /usr/lib/python2.7/site-packages/nova/compute/manager.py:5745,5620c96b,Rebuilding the list of instances to heal _heal_instance_info_cache /usr/lib/python2.7/site-packages/nova/compute/manager.py:5745,[]
