LineId,Date,Time,Pid,Level,Component,ADDR,Content,EventId,EventTemplate,ParameterList
1032999,2022-01-04,21:17:00.842,42079,DEBUG,oslo_service.periodic_task,req-b6cc8f39-0feb-4eaa-9016-bb41c60246e0 - - - - -,Running periodic task ComputeManager._sync_scheduler_instance_info run_periodic_tasks /usr/lib/python2.7/site-packages/oslo_service/periodic_task.py:215,3e57edfe,Running periodic task <*> run_periodic_tasks /usr/lib/python2.7/site-packages/oslo_service/periodic_task.py:215,['ComputeManager._sync_scheduler_instance_info']
1033000,2022-01-04,21:17:04.865,42079,DEBUG,oslo_service.periodic_task,req-b6cc8f39-0feb-4eaa-9016-bb41c60246e0 - - - - -,Running periodic task ComputeManager._poll_rebooting_instances run_periodic_tasks /usr/lib/python2.7/site-packages/oslo_service/periodic_task.py:215,3e57edfe,Running periodic task <*> run_periodic_tasks /usr/lib/python2.7/site-packages/oslo_service/periodic_task.py:215,['ComputeManager._poll_rebooting_instances']
1033001,2022-01-04,21:17:08.806,42079,DEBUG,oslo_service.periodic_task,req-b6cc8f39-0feb-4eaa-9016-bb41c60246e0 - - - - -,Running periodic task ComputeManager._poll_rescued_instances run_periodic_tasks /usr/lib/python2.7/site-packages/oslo_service/periodic_task.py:215,3e57edfe,Running periodic task <*> run_periodic_tasks /usr/lib/python2.7/site-packages/oslo_service/periodic_task.py:215,['ComputeManager._poll_rescued_instances']
1033002,2022-01-04,21:17:12.806,42079,DEBUG,oslo_service.periodic_task,req-b6cc8f39-0feb-4eaa-9016-bb41c60246e0 - - - - -,Running periodic task ComputeManager._run_image_cache_manager_pass run_periodic_tasks /usr/lib/python2.7/site-packages/oslo_service/periodic_task.py:215,3e57edfe,Running periodic task <*> run_periodic_tasks /usr/lib/python2.7/site-packages/oslo_service/periodic_task.py:215,['ComputeManager._run_image_cache_manager_pass']
1033003,2022-01-04,21:17:12.808,42079,DEBUG,oslo_concurrency.lockutils,req-b6cc8f39-0feb-4eaa-9016-bb41c60246e0 - - - - -,"Lock ""storage-registry-lock"" acquired by ""nova.virt.storage_users.do_register_storage_use"" :: waited 0.001s inner /usr/lib/python2.7/site-packages/oslo_concurrency/lockutils.py:270",fe0b93dc,"Lock ""storage-registry-lock"" <*> by <*> :: <*> <*> inner <*>","['acquired', '""nova.virt.storage_users.do_register_storage_use""', 'waited 0.001s', '/usr/lib/python2.7/site-packages/oslo_concurrency/lockutils.py:270']"
1033004,2022-01-04,21:17:12.810,42079,DEBUG,oslo_concurrency.lockutils,req-b6cc8f39-0feb-4eaa-9016-bb41c60246e0 - - - - -,"Lock ""storage-registry-lock"" released by ""nova.virt.storage_users.do_register_storage_use"" :: held 0.001s inner /usr/lib/python2.7/site-packages/oslo_concurrency/lockutils.py:282",fe0b93dc,"Lock ""storage-registry-lock"" <*> by <*> :: <*> <*> inner <*>","['released', '""nova.virt.storage_users.do_register_storage_use""', 'held 0.001s', '/usr/lib/python2.7/site-packages/oslo_concurrency/lockutils.py:282']"
1033005,2022-01-04,21:17:12.810,42079,DEBUG,oslo_concurrency.lockutils,req-b6cc8f39-0feb-4eaa-9016-bb41c60246e0 - - - - -,"Lock ""storage-registry-lock"" acquired by ""nova.virt.storage_users.do_get_storage_users"" :: waited 0.000s inner /usr/lib/python2.7/site-packages/oslo_concurrency/lockutils.py:270",fe0b93dc,"Lock ""storage-registry-lock"" <*> by <*> :: <*> <*> inner <*>","['acquired', '""nova.virt.storage_users.do_get_storage_users""', 'waited 0.000s', '/usr/lib/python2.7/site-packages/oslo_concurrency/lockutils.py:270']"
1033006,2022-01-04,21:17:12.811,42079,DEBUG,oslo_concurrency.lockutils,req-b6cc8f39-0feb-4eaa-9016-bb41c60246e0 - - - - -,"Lock ""storage-registry-lock"" released by ""nova.virt.storage_users.do_get_storage_users"" :: held 0.001s inner /usr/lib/python2.7/site-packages/oslo_concurrency/lockutils.py:282",fe0b93dc,"Lock ""storage-registry-lock"" <*> by <*> :: <*> <*> inner <*>","['released', '""nova.virt.storage_users.do_get_storage_users""', 'held 0.001s', '/usr/lib/python2.7/site-packages/oslo_concurrency/lockutils.py:282']"
1033007,2022-01-04,21:17:13.021,42079,DEBUG,nova.virt.libvirt.imagecache,req-b6cc8f39-0feb-4eaa-9016-bb41c60246e0 - - - - -,Verify base images _age_and_verify_cached_images /usr/lib/python2.7/site-packages/nova/virt/libvirt/imagecache.py:595,c3b2f541,Verify base images _age_and_verify_cached_images /usr/lib/python2.7/site-packages/nova/virt/libvirt/imagecache.py:595,[]
1033008,2022-01-04,21:17:13.021,42079,DEBUG,nova.virt.libvirt.imagecache,req-b6cc8f39-0feb-4eaa-9016-bb41c60246e0 - - - - -,Image id  yields fingerprint da39a3ee5e6b4b0d3255bfef95601890afd80709 _age_and_verify_cached_images /usr/lib/python2.7/site-packages/nova/virt/libvirt/imagecache.py:601,f78ab924,Image id yields fingerprint da39a3ee5e6b4b0d3255bfef95601890afd80709 _age_and_verify_cached_images /usr/lib/python2.7/site-packages/nova/virt/libvirt/imagecache.py:601,[]
