LineId,Date,Time,Pid,Level,Component,ADDR,Content,EventId,EventTemplate,ParameterList
1072252,2022-01-19,00:29:00.103,300927,ERROR,oslo.messaging._drivers.impl_rabbit,-,AMQP server on controller:5672 is unreachable: Too many heartbeats missed. Trying again in 1 seconds.,825bad61,AMQP server on controller:5672 is unreachable: <*> <*> <*> <*> Trying again in 1 seconds.,"['Too', 'many heartbeats missed.']"
1072253,2022-01-19,00:29:00.106,300927,ERROR,oslo.messaging._drivers.impl_rabbit,-,AMQP server on controller:5672 is unreachable: Too many heartbeats missed. Trying again in 1 seconds.,825bad61,AMQP server on controller:5672 is unreachable: <*> <*> <*> <*> Trying again in 1 seconds.,"['Too', 'many heartbeats missed.']"
1072254,2022-01-19,00:29:06.785,300927,INFO,neutron.plugins.ml2.drivers.agent._common_agent,-,Linux bridge agent Agent has just been revived. Doing a full sync.,2285ef69,Linux bridge agent Agent has just been revived. Doing a full sync.,[]
1072255,2022-01-19,00:29:06.787,300927,WARNING,oslo.service.loopingcall,-,Function 'neutron.plugins.ml2.drivers.agent._common_agent.CommonAgentLoop._report_state' run outlasted interval by 45.83 sec,de1b4c1e,Function <*> run outlasted interval by <*> sec,"[""'neutron.plugins.ml2.drivers.agent._common_agent.CommonAgentLoop._report_state'"", '45.83']"
1072256,2022-01-19,00:29:07.280,300927,INFO,neutron.plugins.ml2.drivers.agent._common_agent,req-3a0adf47-e731-47f2-97d1-ca91e3294828 - - - - -,Linux bridge agent Agent out of sync with plugin!,748908de,Linux bridge agent Agent out of sync with plugin!,[]
1072257,2022-01-19,00:29:07.281,300927,INFO,neutron.agent.securitygroups_rpc,req-3a0adf47-e731-47f2-97d1-ca91e3294828 - - - - -,"Preparing filters for devices set(['tapfd7e6a93-ff', 'tapd4ec5b9d-cc', 'tap20230a5b-c5', 'tapcfa3406f-12'])",32778620,Preparing filters for devices <*> <*> <*> <*>,"[""set(['tapfd7e6a93-ff',"", ""'tapd4ec5b9d-cc', 'tap20230a5b-c5', 'tapcfa3406f-12'])""]"
1072258,2022-01-19,00:29:07.650,300927,INFO,neutron.plugins.ml2.drivers.agent._common_agent,req-3a0adf47-e731-47f2-97d1-ca91e3294828 - - - - -,Port tapfd7e6a93-ff updated. Details: {},234d77db,Port <*> updated. Details: {},['tapfd7e6a93-ff']
1072259,2022-01-19,00:29:07.946,300927,INFO,neutron.plugins.ml2.drivers.agent._common_agent,req-3a0adf47-e731-47f2-97d1-ca91e3294828 - - - - -,Port tapd4ec5b9d-cc updated. Details: {},234d77db,Port <*> updated. Details: {},['tapd4ec5b9d-cc']
1072260,2022-01-19,00:29:08.358,300927,INFO,neutron.plugins.ml2.drivers.agent._common_agent,req-3a0adf47-e731-47f2-97d1-ca91e3294828 - - - - -,Port tap20230a5b-c5 updated. Details: {},234d77db,Port <*> updated. Details: {},['tap20230a5b-c5']
1072261,2022-01-19,00:29:08.644,300927,INFO,neutron.plugins.ml2.drivers.agent._common_agent,req-3a0adf47-e731-47f2-97d1-ca91e3294828 - - - - -,Port tapcfa3406f-12 updated. Details: {},234d77db,Port <*> updated. Details: {},['tapcfa3406f-12']
