LineId,Date,Time,Pid,Level,Component,ADDR,Content,EventId,EventTemplate,ParameterList
1072091,2022-01-18,18:42:21.861,26406,ERROR,oslo.messaging._drivers.impl_rabbit,-,AMQP server on controller:5672 is unreachable: Too many heartbeats missed. Trying again in 1 seconds.,825bad61,AMQP server on controller:5672 is unreachable: <*> <*> <*> <*> Trying again in 1 seconds.,"['Too', 'many heartbeats missed.']"
1072092,2022-01-18,18:42:21.877,26406,ERROR,oslo.messaging._drivers.impl_rabbit,-,AMQP server on controller:5672 is unreachable: Too many heartbeats missed. Trying again in 1 seconds.,825bad61,AMQP server on controller:5672 is unreachable: <*> <*> <*> <*> Trying again in 1 seconds.,"['Too', 'many heartbeats missed.']"
1072093,2022-01-18,18:42:28.572,26406,INFO,neutron.plugins.ml2.drivers.agent._common_agent,-,Linux bridge agent Agent has just been revived. Doing a full sync.,2285ef69,Linux bridge agent Agent has just been revived. Doing a full sync.,[]
1072094,2022-01-18,18:42:28.573,26406,WARNING,oslo.service.loopingcall,-,Function 'neutron.plugins.ml2.drivers.agent._common_agent.CommonAgentLoop._report_state' run outlasted interval by 41.46 sec,de1b4c1e,Function <*> run outlasted interval by <*> sec,"[""'neutron.plugins.ml2.drivers.agent._common_agent.CommonAgentLoop._report_state'"", '41.46']"
1072095,2022-01-18,18:42:30.152,26406,INFO,neutron.plugins.ml2.drivers.agent._common_agent,req-e7c67551-7d41-4361-8316-2cf57374b971 - - - - -,Linux bridge agent Agent out of sync with plugin!,748908de,Linux bridge agent Agent out of sync with plugin!,[]
1072096,2022-01-18,18:42:30.154,26406,INFO,neutron.agent.securitygroups_rpc,req-e7c67551-7d41-4361-8316-2cf57374b971 - - - - -,"Preparing filters for devices set(['tapfd7e6a93-ff', 'tapd4ec5b9d-cc', 'tap20230a5b-c5', 'tapcfa3406f-12'])",32778620,Preparing filters for devices <*> <*> <*> <*>,"[""set(['tapfd7e6a93-ff',"", ""'tapd4ec5b9d-cc', 'tap20230a5b-c5', 'tapcfa3406f-12'])""]"
1072097,2022-01-18,18:42:30.571,26406,INFO,neutron.plugins.ml2.drivers.agent._common_agent,req-e7c67551-7d41-4361-8316-2cf57374b971 - - - - -,Port tapfd7e6a93-ff updated. Details: {},234d77db,Port <*> updated. Details: {},['tapfd7e6a93-ff']
1072098,2022-01-18,18:42:30.879,26406,INFO,neutron.plugins.ml2.drivers.agent._common_agent,req-e7c67551-7d41-4361-8316-2cf57374b971 - - - - -,Port tapd4ec5b9d-cc updated. Details: {},234d77db,Port <*> updated. Details: {},['tapd4ec5b9d-cc']
1072099,2022-01-18,18:42:31.181,26406,INFO,neutron.plugins.ml2.drivers.agent._common_agent,req-e7c67551-7d41-4361-8316-2cf57374b971 - - - - -,Port tap20230a5b-c5 updated. Details: {},234d77db,Port <*> updated. Details: {},['tap20230a5b-c5']
1072100,2022-01-18,18:42:31.480,26406,INFO,neutron.plugins.ml2.drivers.agent._common_agent,req-e7c67551-7d41-4361-8316-2cf57374b971 - - - - -,Port tapcfa3406f-12 updated. Details: {},234d77db,Port <*> updated. Details: {},['tapcfa3406f-12']
1072101,2022-01-18,18:42:49.852,26406,INFO,oslo.messaging._drivers.impl_rabbit,-,Reconnected to AMQP server on controller:5672 via [amqp] client,efe456d0,Reconnected to AMQP server on controller:5672 via [amqp] client,[]
1072102,2022-01-18,18:42:49.855,26406,INFO,oslo.messaging._drivers.impl_rabbit,-,Reconnected to AMQP server on controller:5672 via [amqp] client,efe456d0,Reconnected to AMQP server on controller:5672 via [amqp] client,[]
1263654,2022-01-18,18:30:00.927,42079,DEBUG,oslo_service.periodic_task,req-b6cc8f39-0feb-4eaa-9016-bb41c60246e0 - - - - -,Running periodic task ComputeManager._poll_rebooting_instances run_periodic_tasks /usr/lib/python2.7/site-packages/oslo_service/periodic_task.py:215,3e57edfe,Running periodic task <*> run_periodic_tasks /usr/lib/python2.7/site-packages/oslo_service/periodic_task.py:215,['ComputeManager._poll_rebooting_instances']
1263655,2022-01-18,18:30:03.922,42079,DEBUG,oslo_service.periodic_task,req-b6cc8f39-0feb-4eaa-9016-bb41c60246e0 - - - - -,Running periodic task ComputeManager._check_instance_build_time run_periodic_tasks /usr/lib/python2.7/site-packages/oslo_service/periodic_task.py:215,3e57edfe,Running periodic task <*> run_periodic_tasks /usr/lib/python2.7/site-packages/oslo_service/periodic_task.py:215,['ComputeManager._check_instance_build_time']
1263656,2022-01-18,18:30:05.928,42079,DEBUG,oslo_service.periodic_task,req-b6cc8f39-0feb-4eaa-9016-bb41c60246e0 - - - - -,Running periodic task ComputeManager._poll_rescued_instances run_periodic_tasks /usr/lib/python2.7/site-packages/oslo_service/periodic_task.py:215,3e57edfe,Running periodic task <*> run_periodic_tasks /usr/lib/python2.7/site-packages/oslo_service/periodic_task.py:215,['ComputeManager._poll_rescued_instances']
1263657,2022-01-18,18:30:14.925,42079,DEBUG,oslo_service.periodic_task,req-b6cc8f39-0feb-4eaa-9016-bb41c60246e0 - - - - -,Running periodic task ComputeManager._poll_bandwidth_usage run_periodic_tasks /usr/lib/python2.7/site-packages/oslo_service/periodic_task.py:215,3e57edfe,Running periodic task <*> run_periodic_tasks /usr/lib/python2.7/site-packages/oslo_service/periodic_task.py:215,['ComputeManager._poll_bandwidth_usage']
1263658,2022-01-18,18:30:17.926,42079,DEBUG,oslo_service.periodic_task,req-b6cc8f39-0feb-4eaa-9016-bb41c60246e0 - - - - -,Running periodic task ComputeManager._reclaim_queued_deletes run_periodic_tasks /usr/lib/python2.7/site-packages/oslo_service/periodic_task.py:215,3e57edfe,Running periodic task <*> run_periodic_tasks /usr/lib/python2.7/site-packages/oslo_service/periodic_task.py:215,['ComputeManager._reclaim_queued_deletes']
1263659,2022-01-18,18:30:17.927,42079,DEBUG,nova.compute.manager,req-b6cc8f39-0feb-4eaa-9016-bb41c60246e0 - - - - -,"CONF.reclaim_instance_interval <= 0, skipping... _reclaim_queued_deletes /usr/lib/python2.7/site-packages/nova/compute/manager.py:6413",af06e31a,"CONF.reclaim_instance_interval <= 0, skipping... _reclaim_queued_deletes /usr/lib/python2.7/site-packages/nova/compute/manager.py:6413",[]
