LineId,Date,Time,Pid,Level,Component,ADDR,Content,EventId,EventTemplate,ParameterList
1071953,2022-01-18,02:09:37.047,48816,INFO,neutron.plugins.ml2.drivers.agent._common_agent,-,Linux bridge agent Agent has just been revived. Doing a full sync.,2285ef69,Linux bridge agent Agent has just been revived. Doing a full sync.,[]
1071954,2022-01-18,02:09:37.050,48816,WARNING,oslo.service.loopingcall,-,Function 'neutron.plugins.ml2.drivers.agent._common_agent.CommonAgentLoop._report_state' run outlasted interval by 26.73 sec,de1b4c1e,Function <*> run outlasted interval by <*> sec,"[""'neutron.plugins.ml2.drivers.agent._common_agent.CommonAgentLoop._report_state'"", '26.73']"
1071955,2022-01-18,02:09:38.631,48816,INFO,neutron.plugins.ml2.drivers.agent._common_agent,req-33123b7d-e8a4-4f33-a452-286518cf45a9 - - - - -,Linux bridge agent Agent out of sync with plugin!,748908de,Linux bridge agent Agent out of sync with plugin!,[]
1071956,2022-01-18,02:09:38.632,48816,INFO,neutron.agent.securitygroups_rpc,req-33123b7d-e8a4-4f33-a452-286518cf45a9 - - - - -,"Preparing filters for devices set(['tapfd7e6a93-ff', 'tapd4ec5b9d-cc', 'tap20230a5b-c5', 'tapcfa3406f-12'])",32778620,Preparing filters for devices <*> <*> <*> <*>,"[""set(['tapfd7e6a93-ff',"", ""'tapd4ec5b9d-cc', 'tap20230a5b-c5', 'tapcfa3406f-12'])""]"
1071957,2022-01-18,02:09:38.997,48816,INFO,neutron.plugins.ml2.drivers.agent._common_agent,req-33123b7d-e8a4-4f33-a452-286518cf45a9 - - - - -,Port tapfd7e6a93-ff updated. Details: {},234d77db,Port <*> updated. Details: {},['tapfd7e6a93-ff']
1071958,2022-01-18,02:09:39.291,48816,INFO,neutron.plugins.ml2.drivers.agent._common_agent,req-33123b7d-e8a4-4f33-a452-286518cf45a9 - - - - -,Port tapd4ec5b9d-cc updated. Details: {},234d77db,Port <*> updated. Details: {},['tapd4ec5b9d-cc']
1071959,2022-01-18,02:09:39.583,48816,INFO,neutron.plugins.ml2.drivers.agent._common_agent,req-33123b7d-e8a4-4f33-a452-286518cf45a9 - - - - -,Port tap20230a5b-c5 updated. Details: {},234d77db,Port <*> updated. Details: {},['tap20230a5b-c5']
1071960,2022-01-18,02:09:39.881,48816,INFO,neutron.plugins.ml2.drivers.agent._common_agent,req-33123b7d-e8a4-4f33-a452-286518cf45a9 - - - - -,Port tapcfa3406f-12 updated. Details: {},234d77db,Port <*> updated. Details: {},['tapcfa3406f-12']
1071961,2022-01-18,02:09:53.153,48816,ERROR,oslo.messaging._drivers.impl_rabbit,-,AMQP server on controller:5672 is unreachable: Too many heartbeats missed. Trying again in 1 seconds.,825bad61,AMQP server on controller:5672 is unreachable: <*> <*> <*> <*> Trying again in 1 seconds.,"['Too', 'many heartbeats missed.']"
1071962,2022-01-18,02:09:53.157,48816,ERROR,oslo.messaging._drivers.impl_rabbit,-,AMQP server on controller:5672 is unreachable: Too many heartbeats missed. Trying again in 1 seconds.,825bad61,AMQP server on controller:5672 is unreachable: <*> <*> <*> <*> Trying again in 1 seconds.,"['Too', 'many heartbeats missed.']"
1071963,2022-01-18,02:09:53.158,48816,ERROR,oslo.messaging._drivers.impl_rabbit,-,AMQP server on controller:5672 is unreachable: Too many heartbeats missed. Trying again in 1 seconds.,825bad61,AMQP server on controller:5672 is unreachable: <*> <*> <*> <*> Trying again in 1 seconds.,"['Too', 'many heartbeats missed.']"
1071964,2022-01-18,02:09:53.159,48816,ERROR,oslo.messaging._drivers.impl_rabbit,-,AMQP server on controller:5672 is unreachable: Too many heartbeats missed. Trying again in 1 seconds.,825bad61,AMQP server on controller:5672 is unreachable: <*> <*> <*> <*> Trying again in 1 seconds.,"['Too', 'many heartbeats missed.']"
1071965,2022-01-18,02:09:53.160,48816,ERROR,oslo.messaging._drivers.impl_rabbit,-,AMQP server on controller:5672 is unreachable: Too many heartbeats missed. Trying again in 1 seconds.,825bad61,AMQP server on controller:5672 is unreachable: <*> <*> <*> <*> Trying again in 1 seconds.,"['Too', 'many heartbeats missed.']"
1071966,2022-01-18,02:09:55.348,48816,INFO,oslo.messaging._drivers.impl_rabbit,-,Reconnected to AMQP server on controller:5672 via [amqp] client,efe456d0,Reconnected to AMQP server on controller:5672 via [amqp] client,[]
1071967,2022-01-18,02:09:55.350,48816,INFO,oslo.messaging._drivers.impl_rabbit,-,Reconnected to AMQP server on controller:5672 via [amqp] client,efe456d0,Reconnected to AMQP server on controller:5672 via [amqp] client,[]
1071968,2022-01-18,02:09:55.351,48816,INFO,oslo.messaging._drivers.impl_rabbit,-,Reconnected to AMQP server on controller:5672 via [amqp] client,efe456d0,Reconnected to AMQP server on controller:5672 via [amqp] client,[]
1071969,2022-01-18,02:09:55.353,48816,INFO,oslo.messaging._drivers.impl_rabbit,-,Reconnected to AMQP server on controller:5672 via [amqp] client,efe456d0,Reconnected to AMQP server on controller:5672 via [amqp] client,[]
1071970,2022-01-18,02:09:55.354,48816,INFO,oslo.messaging._drivers.impl_rabbit,-,Reconnected to AMQP server on controller:5672 via [amqp] client,efe456d0,Reconnected to AMQP server on controller:5672 via [amqp] client,[]
1150462,2022-01-18,01:58:01.869,42079,DEBUG,oslo_service.periodic_task,req-b6cc8f39-0feb-4eaa-9016-bb41c60246e0 - - - - -,Running periodic task ComputeManager._poll_unconfirmed_resizes run_periodic_tasks /usr/lib/python2.7/site-packages/oslo_service/periodic_task.py:215,3e57edfe,Running periodic task <*> run_periodic_tasks /usr/lib/python2.7/site-packages/oslo_service/periodic_task.py:215,['ComputeManager._poll_unconfirmed_resizes']
1150463,2022-01-18,01:58:02.869,42079,DEBUG,oslo_service.periodic_task,req-b6cc8f39-0feb-4eaa-9016-bb41c60246e0 - - - - -,Running periodic task ComputeManager._heal_instance_info_cache run_periodic_tasks /usr/lib/python2.7/site-packages/oslo_service/periodic_task.py:215,3e57edfe,Running periodic task <*> run_periodic_tasks /usr/lib/python2.7/site-packages/oslo_service/periodic_task.py:215,['ComputeManager._heal_instance_info_cache']
