LineId,Date,Time,Pid,Level,Component,ADDR,Content,EventId,EventTemplate,ParameterList
1072072,2022-01-18,04:34:19.910,26406,INFO,neutron.agent.securitygroups_rpc,req-e3b32bac-c089-46a1-9568-65256d8db3c3 c3a526db8d3c49d5a34fe381ed60ee76 24edcca284a248049028c1352851f520 - - -,Security group member updated [u'b059babb-88bb-4cac-be72-07a559099114'],a565880c,Security group <*> updated [u'<*>'],"['member', 'b059babb-88bb-4cac-be72-07a559099114']"
1072073,2022-01-18,04:34:20.699,26406,INFO,neutron.agent.securitygroups_rpc,req-23378578-b3e6-46d1-ac65-38a8d95a8e11 43b996f08a374a359872ac4444258295 7fe5d95324c448b695017fc3a63492b4 - - -,Security group member updated [u'b059babb-88bb-4cac-be72-07a559099114'],a565880c,Security group <*> updated [u'<*>'],"['member', 'b059babb-88bb-4cac-be72-07a559099114']"
1216874,2022-01-18,04:23:05.878,42079,DEBUG,oslo_service.periodic_task,req-b6cc8f39-0feb-4eaa-9016-bb41c60246e0 - - - - -,Running periodic task ComputeManager._poll_rebooting_instances run_periodic_tasks /usr/lib/python2.7/site-packages/oslo_service/periodic_task.py:215,3e57edfe,Running periodic task <*> run_periodic_tasks /usr/lib/python2.7/site-packages/oslo_service/periodic_task.py:215,['ComputeManager._poll_rebooting_instances']
1216875,2022-01-18,04:23:05.881,42079,DEBUG,oslo_service.periodic_task,req-b6cc8f39-0feb-4eaa-9016-bb41c60246e0 - - - - -,Running periodic task ComputeManager._poll_rescued_instances run_periodic_tasks /usr/lib/python2.7/site-packages/oslo_service/periodic_task.py:215,3e57edfe,Running periodic task <*> run_periodic_tasks /usr/lib/python2.7/site-packages/oslo_service/periodic_task.py:215,['ComputeManager._poll_rescued_instances']
1216876,2022-01-18,04:23:08.692,42079,DEBUG,oslo_service.periodic_task,req-b6cc8f39-0feb-4eaa-9016-bb41c60246e0 - - - - -,Running periodic task ComputeManager._sync_power_states run_periodic_tasks /usr/lib/python2.7/site-packages/oslo_service/periodic_task.py:215,3e57edfe,Running periodic task <*> run_periodic_tasks /usr/lib/python2.7/site-packages/oslo_service/periodic_task.py:215,['ComputeManager._sync_power_states']
1216877,2022-01-18,04:23:08.751,42079,WARNING,nova.compute.manager,req-b6cc8f39-0feb-4eaa-9016-bb41c60246e0 - - - - -,"While synchronizing instance power states, found 5 instances in the database and 7 instances on the hypervisor.",7d8b6b51,"While synchronizing instance power states, found <*> instances in the database and <*> instances on the hypervisor.","['5', '7']"
1216878,2022-01-18,04:23:08.751,42079,DEBUG,nova.compute.manager,req-b6cc8f39-0feb-4eaa-9016-bb41c60246e0 - - - - -,Triggering sync for uuid 961c722a-f1fc-4eb5-aad3-3411d43ce7fd _sync_power_states /usr/lib/python2.7/site-packages/nova/compute/manager.py:6217,d471924a,Triggering sync for uuid <*> _sync_power_states /usr/lib/python2.7/site-packages/nova/compute/manager.py:6217,['961c722a-f1fc-4eb5-aad3-3411d43ce7fd']
1216879,2022-01-18,04:23:08.752,42079,DEBUG,nova.compute.manager,req-b6cc8f39-0feb-4eaa-9016-bb41c60246e0 - - - - -,Triggering sync for uuid f0be39de-3bb9-49df-a27c-771a85c86e71 _sync_power_states /usr/lib/python2.7/site-packages/nova/compute/manager.py:6217,d471924a,Triggering sync for uuid <*> _sync_power_states /usr/lib/python2.7/site-packages/nova/compute/manager.py:6217,['f0be39de-3bb9-49df-a27c-771a85c86e71']
1216880,2022-01-18,04:23:08.752,42079,DEBUG,nova.compute.manager,req-b6cc8f39-0feb-4eaa-9016-bb41c60246e0 - - - - -,Triggering sync for uuid a0e038d7-4174-4198-ac4b-803495ae9cdd _sync_power_states /usr/lib/python2.7/site-packages/nova/compute/manager.py:6217,d471924a,Triggering sync for uuid <*> _sync_power_states /usr/lib/python2.7/site-packages/nova/compute/manager.py:6217,['a0e038d7-4174-4198-ac4b-803495ae9cdd']
1216881,2022-01-18,04:23:08.752,42079,DEBUG,nova.compute.manager,req-b6cc8f39-0feb-4eaa-9016-bb41c60246e0 - - - - -,Triggering sync for uuid f36afda4-2908-4eee-adeb-019a721fbc0c _sync_power_states /usr/lib/python2.7/site-packages/nova/compute/manager.py:6217,d471924a,Triggering sync for uuid <*> _sync_power_states /usr/lib/python2.7/site-packages/nova/compute/manager.py:6217,['f36afda4-2908-4eee-adeb-019a721fbc0c']
