LineId,Date,Time,Pid,Level,Component,ADDR,Content,EventId,EventTemplate,ParameterList
1071971,2022-01-18,02:37:30.094,48816,INFO,neutron.plugins.ml2.drivers.agent._common_agent,-,Stopping Linux bridge agent agent.,70396318,Stopping Linux bridge agent agent.,[]
1071972,2022-01-18,02:37:30.101,48816,INFO,oslo_rootwrap.client,-,Stopping rootwrap daemon process with pid=48842,25a2902d,Stopping rootwrap daemon process with <*>,['pid=48842']
1071973,2022-01-18,02:38:51.217,26406,INFO,neutron.common.config,-,Logging enabled!,48f9f2a1,Logging enabled!,[]
1071974,2022-01-18,02:38:51.217,26406,INFO,neutron.common.config,-,/usr/bin/neutron-linuxbridge-agent version 8.1.2,9dacc4e2,/usr/bin/neutron-linuxbridge-agent version 8.1.2,[]
1071975,2022-01-18,02:38:51.217,26406,INFO,neutron.plugins.ml2.drivers.linuxbridge.agent.linuxbridge_neutron_agent,-,Interface mappings: {'provider': 'ens3f1'},39e5ca6f,Interface mappings: {'provider': 'ens3f1'},[]
1071976,2022-01-18,02:38:51.217,26406,INFO,neutron.plugins.ml2.drivers.linuxbridge.agent.linuxbridge_neutron_agent,-,Bridge mappings: {},6a565929,Bridge mappings: {},[]
1071977,2022-01-18,02:38:51.492,26406,INFO,oslo_rootwrap.client,-,Spawned new rootwrap daemon process with pid=26423,856d2ba6,Spawned new rootwrap daemon process with <*>,['pid=26423']
1071978,2022-01-18,02:38:51.640,26406,INFO,neutron.plugins.ml2.drivers.linuxbridge.agent.linuxbridge_neutron_agent,-,"Agent initialized successfully, now running...",08c978a5,"Agent initialized successfully, now running...",[]
1071979,2022-01-18,02:38:51.685,26406,INFO,neutron.plugins.ml2.drivers.agent._common_agent,req-e7c67551-7d41-4361-8316-2cf57374b971 - - - - -,RPC agent_id: lb6c92bfcf4e78,0d0aebe7,RPC agent_id: <*>,['lb6c92bfcf4e78']
1071980,2022-01-18,02:38:51.699,26406,INFO,neutron.agent.l2.extensions.manager,req-e7c67551-7d41-4361-8316-2cf57374b971 - - - - -,Loaded agent extensions: [],606c6907,Loaded agent extensions: [],[]
1071981,2022-01-18,02:38:51.804,26406,INFO,neutron.plugins.ml2.drivers.agent._common_agent,-,Linux bridge agent Agent has just been revived. Doing a full sync.,2285ef69,Linux bridge agent Agent has just been revived. Doing a full sync.,[]
1071982,2022-01-18,02:38:51.873,26406,INFO,neutron.plugins.ml2.drivers.agent._common_agent,req-e7c67551-7d41-4361-8316-2cf57374b971 - - - - -,Linux bridge agent Agent RPC Daemon Started!,20b2b9f9,Linux bridge agent Agent RPC Daemon Started!,[]
1071983,2022-01-18,02:38:51.873,26406,INFO,neutron.plugins.ml2.drivers.agent._common_agent,req-e7c67551-7d41-4361-8316-2cf57374b971 - - - - -,Linux bridge agent Agent out of sync with plugin!,748908de,Linux bridge agent Agent out of sync with plugin!,[]
1071984,2022-01-18,02:38:51.888,26406,INFO,neutron.plugins.ml2.drivers.linuxbridge.agent.arp_protect,req-e7c67551-7d41-4361-8316-2cf57374b971 - - - - -,Clearing orphaned ARP spoofing entries for devices [],b65f12dc,Clearing orphaned ARP spoofing entries for devices <*>,['[]']
1071985,2022-01-18,02:38:51.889,26406,INFO,neutron.agent.securitygroups_rpc,req-e7c67551-7d41-4361-8316-2cf57374b971 - - - - -,"Preparing filters for devices set(['tapfd7e6a93-ff', 'tapd4ec5b9d-cc', 'tap20230a5b-c5', 'tapdf150a3e-a9', 'tapcfa3406f-12'])",f8bb75d0,"Preparing filters for devices <*> 'tapd4ec5b9d-cc', 'tap20230a5b-c5', <*> <*>","[""set(['tapfd7e6a93-ff',"", ""'tapdf150a3e-a9', 'tapcfa3406f-12'])""]"
1071986,2022-01-18,02:38:52.367,26406,INFO,neutron.plugins.ml2.drivers.agent._common_agent,req-e7c67551-7d41-4361-8316-2cf57374b971 - - - - -,Port tapfd7e6a93-ff updated. Details: {},234d77db,Port <*> updated. Details: {},['tapfd7e6a93-ff']
1071987,2022-01-18,02:38:52.797,26406,INFO,neutron.plugins.ml2.drivers.agent._common_agent,req-e7c67551-7d41-4361-8316-2cf57374b971 - - - - -,Port tapd4ec5b9d-cc updated. Details: {},234d77db,Port <*> updated. Details: {},['tapd4ec5b9d-cc']
1071988,2022-01-18,02:38:53.133,26406,INFO,neutron.plugins.ml2.drivers.agent._common_agent,req-e7c67551-7d41-4361-8316-2cf57374b971 - - - - -,Port tap20230a5b-c5 updated. Details: {},234d77db,Port <*> updated. Details: {},['tap20230a5b-c5']
1071989,2022-01-18,02:38:53.464,26406,INFO,neutron.plugins.ml2.drivers.agent._common_agent,req-e7c67551-7d41-4361-8316-2cf57374b971 - - - - -,Port tapdf150a3e-a9 updated. Details: {},234d77db,Port <*> updated. Details: {},['tapdf150a3e-a9']
1071990,2022-01-18,02:38:53.834,26406,INFO,neutron.plugins.ml2.drivers.agent._common_agent,req-e7c67551-7d41-4361-8316-2cf57374b971 - - - - -,Port tapcfa3406f-12 updated. Details: {},234d77db,Port <*> updated. Details: {},['tapcfa3406f-12']
1071991,2022-01-18,02:39:00.823,26406,INFO,neutron.agent.securitygroups_rpc,req-3cca1f94-e1da-47b0-b586-aec779769572 43b996f08a374a359872ac4444258295 7fe5d95324c448b695017fc3a63492b4 - - -,Security group member updated [u'b059babb-88bb-4cac-be72-07a559099114'],a565880c,Security group <*> updated [u'<*>'],"['member', 'b059babb-88bb-4cac-be72-07a559099114']"
