LineId,Date,Time,Pid,Level,Component,ADDR,Content,EventId,EventTemplate,ParameterList
1071698,2022-01-17,18:50:03.491,190183,INFO,neutron.agent.securitygroups_rpc,req-ee52af2e-f811-40ab-aa68-ead34cd1e859 - - - - -,Remove device filter for set(['tap20230a5b-c5']),f36ed50f,Remove device filter for <*>,"[""set(['tap20230a5b-c5'])""]"
1071699,2022-01-17,18:50:03.641,190183,INFO,neutron.plugins.ml2.drivers.agent._common_agent,req-ee52af2e-f811-40ab-aa68-ead34cd1e859 - - - - -,Attachment tap20230a5b-c5 removed,36f86791,Attachment <*> removed,['tap20230a5b-c5']
1071700,2022-01-17,18:50:03.735,190183,INFO,neutron.plugins.ml2.drivers.agent._common_agent,req-ee52af2e-f811-40ab-aa68-ead34cd1e859 - - - - -,Port tap20230a5b-c5 updated.,6b5c2a4e,Port <*> updated.,['tap20230a5b-c5']
1071701,2022-01-17,18:50:05.491,190183,INFO,neutron.agent.securitygroups_rpc,req-ee52af2e-f811-40ab-aa68-ead34cd1e859 - - - - -,Preparing filters for devices set(['tap20230a5b-c5']),609be153,Preparing filters for devices <*>,"[""set(['tap20230a5b-c5'])""]"
1071702,2022-01-17,18:50:05.804,190183,INFO,neutron.plugins.ml2.drivers.agent._common_agent,req-ee52af2e-f811-40ab-aa68-ead34cd1e859 - - - - -,Port tap20230a5b-c5 updated. Details: {},234d77db,Port <*> updated. Details: {},['tap20230a5b-c5']
1071703,2022-01-17,19:00:43.779,190183,INFO,neutron.agent.securitygroups_rpc,req-43ca54e6-8066-462d-82b0-e962d24dcc67 c3a526db8d3c49d5a34fe381ed60ee76 24edcca284a248049028c1352851f520 - - -,Security group member updated [u'b059babb-88bb-4cac-be72-07a559099114'],a565880c,Security group <*> updated [u'<*>'],"['member', 'b059babb-88bb-4cac-be72-07a559099114']"
1071704,2022-01-17,19:00:45.512,190183,INFO,neutron.agent.securitygroups_rpc,req-ee52af2e-f811-40ab-aa68-ead34cd1e859 - - - - -,Preparing filters for devices set(['tap65d7be54-19']),609be153,Preparing filters for devices <*>,"[""set(['tap65d7be54-19'])""]"
1071705,2022-01-17,19:00:45.845,190183,INFO,neutron.plugins.ml2.drivers.agent._common_agent,req-ee52af2e-f811-40ab-aa68-ead34cd1e859 - - - - -,Port tap65d7be54-19 updated. Details: {},234d77db,Port <*> updated. Details: {},['tap65d7be54-19']
1071706,2022-01-17,19:01:20.326,190183,INFO,neutron.agent.securitygroups_rpc,req-269d4060-461d-416e-ab6d-6d6c0ad6100d 43b996f08a374a359872ac4444258295 7fe5d95324c448b695017fc3a63492b4 - - -,Security group member updated [u'b059babb-88bb-4cac-be72-07a559099114'],a565880c,Security group <*> updated [u'<*>'],"['member', 'b059babb-88bb-4cac-be72-07a559099114']"
1071707,2022-01-17,19:01:21.513,190183,INFO,neutron.agent.securitygroups_rpc,req-ee52af2e-f811-40ab-aa68-ead34cd1e859 - - - - -,Remove device filter for set(['tap65d7be54-19']),f36ed50f,Remove device filter for <*>,"[""set(['tap65d7be54-19'])""]"
1071708,2022-01-17,19:01:21.674,190183,INFO,neutron.plugins.ml2.drivers.agent._common_agent,req-ee52af2e-f811-40ab-aa68-ead34cd1e859 - - - - -,Attachment tap65d7be54-19 removed,36f86791,Attachment <*> removed,['tap65d7be54-19']
