LineId,Date,Time,Pid,Level,Component,ADDR,Content,EventId,EventTemplate,ParameterList
1072357,2022-01-19,03:05:30.630,23165,ERROR,oslo.messaging._drivers.impl_rabbit,-,AMQP server on controller:5672 is unreachable: Too many heartbeats missed. Trying again in 1 seconds.,825bad61,AMQP server on controller:5672 is unreachable: <*> <*> <*> <*> Trying again in 1 seconds.,"['Too', 'many heartbeats missed.']"
1072358,2022-01-19,03:05:30.675,23165,ERROR,oslo.messaging._drivers.impl_rabbit,-,AMQP server on controller:5672 is unreachable: Too many heartbeats missed. Trying again in 1 seconds.,825bad61,AMQP server on controller:5672 is unreachable: <*> <*> <*> <*> Trying again in 1 seconds.,"['Too', 'many heartbeats missed.']"
1072359,2022-01-19,03:05:30.699,23165,ERROR,oslo.messaging._drivers.impl_rabbit,-,AMQP server on controller:5672 is unreachable: Too many heartbeats missed. Trying again in 1 seconds.,825bad61,AMQP server on controller:5672 is unreachable: <*> <*> <*> <*> Trying again in 1 seconds.,"['Too', 'many heartbeats missed.']"
1072360,2022-01-19,03:05:30.730,23165,ERROR,oslo.messaging._drivers.impl_rabbit,-,AMQP server on controller:5672 is unreachable: Too many heartbeats missed. Trying again in 1 seconds.,825bad61,AMQP server on controller:5672 is unreachable: <*> <*> <*> <*> Trying again in 1 seconds.,"['Too', 'many heartbeats missed.']"
1072361,2022-01-19,03:05:30.763,23165,ERROR,oslo.messaging._drivers.impl_rabbit,-,AMQP server on controller:5672 is unreachable: Too many heartbeats missed. Trying again in 1 seconds.,825bad61,AMQP server on controller:5672 is unreachable: <*> <*> <*> <*> Trying again in 1 seconds.,"['Too', 'many heartbeats missed.']"
1072362,2022-01-19,03:05:42.411,23165,INFO,neutron.plugins.ml2.drivers.agent._common_agent,-,Linux bridge agent Agent has just been revived. Doing a full sync.,2285ef69,Linux bridge agent Agent has just been revived. Doing a full sync.,[]
1072363,2022-01-19,03:05:42.411,23165,WARNING,oslo.service.loopingcall,-,Function 'neutron.plugins.ml2.drivers.agent._common_agent.CommonAgentLoop._report_state' run outlasted interval by 56.77 sec,de1b4c1e,Function <*> run outlasted interval by <*> sec,"[""'neutron.plugins.ml2.drivers.agent._common_agent.CommonAgentLoop._report_state'"", '56.77']"
1072364,2022-01-19,03:05:44.347,23165,INFO,neutron.plugins.ml2.drivers.agent._common_agent,req-aff4da2d-1f5f-4ae4-8b66-8a4698dc39b3 - - - - -,Linux bridge agent Agent out of sync with plugin!,748908de,Linux bridge agent Agent out of sync with plugin!,[]
1072365,2022-01-19,03:05:44.349,23165,INFO,neutron.agent.securitygroups_rpc,req-aff4da2d-1f5f-4ae4-8b66-8a4698dc39b3 - - - - -,"Preparing filters for devices set(['tapfd7e6a93-ff', 'tapd4ec5b9d-cc', 'tap20230a5b-c5', 'tapcfa3406f-12'])",32778620,Preparing filters for devices <*> <*> <*> <*>,"[""set(['tapfd7e6a93-ff',"", ""'tapd4ec5b9d-cc', 'tap20230a5b-c5', 'tapcfa3406f-12'])""]"
1072366,2022-01-19,03:05:44.768,23165,INFO,neutron.plugins.ml2.drivers.agent._common_agent,req-aff4da2d-1f5f-4ae4-8b66-8a4698dc39b3 - - - - -,Port tapfd7e6a93-ff updated. Details: {},234d77db,Port <*> updated. Details: {},['tapfd7e6a93-ff']
1072367,2022-01-19,03:05:45.056,23165,INFO,neutron.plugins.ml2.drivers.agent._common_agent,req-aff4da2d-1f5f-4ae4-8b66-8a4698dc39b3 - - - - -,Port tapd4ec5b9d-cc updated. Details: {},234d77db,Port <*> updated. Details: {},['tapd4ec5b9d-cc']
1072368,2022-01-19,03:05:45.334,23165,INFO,neutron.plugins.ml2.drivers.agent._common_agent,req-aff4da2d-1f5f-4ae4-8b66-8a4698dc39b3 - - - - -,Port tap20230a5b-c5 updated. Details: {},234d77db,Port <*> updated. Details: {},['tap20230a5b-c5']
1072369,2022-01-19,03:05:45.608,23165,INFO,neutron.plugins.ml2.drivers.agent._common_agent,req-aff4da2d-1f5f-4ae4-8b66-8a4698dc39b3 - - - - -,Port tapcfa3406f-12 updated. Details: {},234d77db,Port <*> updated. Details: {},['tapcfa3406f-12']
1072370,2022-01-19,03:05:59.106,23165,INFO,oslo.messaging._drivers.impl_rabbit,-,Reconnected to AMQP server on controller:5672 via [amqp] client,efe456d0,Reconnected to AMQP server on controller:5672 via [amqp] client,[]
1072371,2022-01-19,03:05:59.108,23165,INFO,oslo.messaging._drivers.impl_rabbit,-,Reconnected to AMQP server on controller:5672 via [amqp] client,efe456d0,Reconnected to AMQP server on controller:5672 via [amqp] client,[]
1072372,2022-01-19,03:05:59.109,23165,INFO,oslo.messaging._drivers.impl_rabbit,-,Reconnected to AMQP server on controller:5672 via [amqp] client,efe456d0,Reconnected to AMQP server on controller:5672 via [amqp] client,[]
1072373,2022-01-19,03:05:59.230,23165,INFO,oslo.messaging._drivers.impl_rabbit,-,Reconnected to AMQP server on controller:5672 via [amqp] client,efe456d0,Reconnected to AMQP server on controller:5672 via [amqp] client,[]
1072374,2022-01-19,03:05:59.232,23165,INFO,oslo.messaging._drivers.impl_rabbit,-,Reconnected to AMQP server on controller:5672 via [amqp] client,efe456d0,Reconnected to AMQP server on controller:5672 via [amqp] client,[]
1295116,2022-01-19,02:53:07.408,42079,DEBUG,oslo_service.periodic_task,req-b6cc8f39-0feb-4eaa-9016-bb41c60246e0 - - - - -,Running periodic task ComputeManager._poll_unconfirmed_resizes run_periodic_tasks /usr/lib/python2.7/site-packages/oslo_service/periodic_task.py:215,3e57edfe,Running periodic task <*> run_periodic_tasks /usr/lib/python2.7/site-packages/oslo_service/periodic_task.py:215,['ComputeManager._poll_unconfirmed_resizes']
1295117,2022-01-19,02:53:08.953,42079,DEBUG,oslo_service.periodic_task,req-b6cc8f39-0feb-4eaa-9016-bb41c60246e0 - - - - -,Running periodic task ComputeManager._poll_rescued_instances run_periodic_tasks /usr/lib/python2.7/site-packages/oslo_service/periodic_task.py:215,3e57edfe,Running periodic task <*> run_periodic_tasks /usr/lib/python2.7/site-packages/oslo_service/periodic_task.py:215,['ComputeManager._poll_rescued_instances']
1295118,2022-01-19,02:53:09.949,42079,DEBUG,oslo_service.periodic_task,req-b6cc8f39-0feb-4eaa-9016-bb41c60246e0 - - - - -,Running periodic task ComputeManager._check_instance_build_time run_periodic_tasks /usr/lib/python2.7/site-packages/oslo_service/periodic_task.py:215,3e57edfe,Running periodic task <*> run_periodic_tasks /usr/lib/python2.7/site-packages/oslo_service/periodic_task.py:215,['ComputeManager._check_instance_build_time']
1295119,2022-01-19,02:53:09.953,42079,DEBUG,oslo_service.periodic_task,req-b6cc8f39-0feb-4eaa-9016-bb41c60246e0 - - - - -,Running periodic task ComputeManager.update_available_resource run_periodic_tasks /usr/lib/python2.7/site-packages/oslo_service/periodic_task.py:215,3e57edfe,Running periodic task <*> run_periodic_tasks /usr/lib/python2.7/site-packages/oslo_service/periodic_task.py:215,['ComputeManager.update_available_resource']
1295120,2022-01-19,02:53:10.033,42079,INFO,nova.compute.resource_tracker,req-b6cc8f39-0feb-4eaa-9016-bb41c60246e0 - - - - -,Auditing locally available compute resources for node h432-l13,795c85ae,Auditing locally available compute resources for node h432-l13,[]
